Type,Code,Section Number,Section Title,Slide Number,Slide Title,Text,Column Number,Column Width,Theme
Text,,5.3.2,Energy Transition,0,,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,**Photo**,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Photo,access-1,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,**Text-narrow**,1,narrow,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,Energy lorem ipsum alo vil cu li li oppo energy sustainable etc Energy lorem ipsum alo vil cu li li oppo energy sustainable etc Energy lorem ipsum alo vil cu li li oppo energy sustainable ,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,**Text-wide**,1,wide,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,<h1>Energy lorem ipsum alo vil cu li li oppo </h1>,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,Energy lorem <b>ipsum </b><b>alo</b><b> </b><b>vil</b><b> cu li </b><b>li</b><b> oppo</b> energy sustainable etc,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,Energy lorem ipsum alo vil cu li li oppo energy sustainable etc,1,,
Text,,5.3.2,Energy Transition,1,Innovation in the Just Energy Transition,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Photo-Box**,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
PhotoBox,access-3,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Text**,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,Energy lorem ipsum alo vil ,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Diagram**,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Diagram,transition-2,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,Here the diagram shows that renewable energy is good.,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Text-dark-6**,1,,dark
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,<h3>Energy lorem ipsum alo vil cu li li oppo energy sustainable etc</h3>,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,<h2>Energy lorem ipsum alo vil cu li li oppo energy sustainable etc</h2>,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,<h4>Energy lorem ipsum alo vil cu li li oppo energy sustainable etc</h4>,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Text-dark-4**,1,,dark
Text,,5.3.2,Energy Transition,2,Energy Access,<h4></h4>,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,<h4>Energy lorem ipsum alo vil cu li li oppo energy sustainable etc Energy lorem ipsum alo vil cu li li oppo energy sustainable etc Energy lorem ipsum alo vil cu li li oppo energy sustainable </h4>,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Photo-5**,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Photo,access-1,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,**Photo-6**,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Photo,access-2,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,,1,,
Text,,5.3.2,Energy Transition,2,Energy Access,*****,1,,
